Sequence 1: Score = 0.15399837493896484, Label = Bacteria
Sequence 2: Score = 0.1683950275182724, Label = Bacteria
Sequence 3: Score = 0.07928082346916199, Label = Bacteria
Sequence 4: Score = 0.13744574785232544, Label = Bacteria
Sequence 5: Score = 0.0379372239112854, Label = Bacteria
Sequence 6: Score = 0.1391107141971588, Label = Bacteria
Sequence 7: Score = 0.1388840228319168, Label = Bacteria
Sequence 8: Score = 0.1636955440044403, Label = Bacteria
Sequence 9: Score = 0.15635845065116882, Label = Bacteria
Sequence 10: Score = 0.06453955173492432, Label = Bacteria
Sequence 11: Score = 0.10279376804828644, Label = Bacteria
Sequence 12: Score = 0.21785393357276917, Label = Bacteria
Sequence 13: Score = 0.16406020522117615, Label = Bacteria
Sequence 14: Score = 0.12172076106071472, Label = Bacteria
Sequence 15: Score = 0.09662637114524841, Label = Bacteria
Sequence 16: Score = 0.15286552906036377, Label = Bacteria
Sequence 17: Score = 0.29556548595428467, Label = Bacteria
Sequence 18: Score = 0.24463918805122375, Label = Bacteria
Sequence 19: Score = 0.21382030844688416, Label = Bacteria
Sequence 20: Score = 0.24975380301475525, Label = Bacteria
Sequence 21: Score = 0.1738976538181305, Label = Bacteria
Sequence 22: Score = 0.17793908715248108, Label = Bacteria
Sequence 23: Score = 0.1312274932861328, Label = Bacteria
Sequence 24: Score = 0.1766454577445984, Label = Bacteria
Sequence 25: Score = 0.11119198799133301, Label = Bacteria
Sequence 26: Score = 0.303817480802536, Label = Bacteria
Sequence 27: Score = 0.15777158737182617, Label = Bacteria
Sequence 28: Score = 0.1676870882511139, Label = Bacteria
Sequence 29: Score = 0.24722570180892944, Label = Bacteria
Sequence 30: Score = 0.1320601850748062, Label = Bacteria
